2024-09-27 20:39:49,087 - INFO - objects_num_before_nms: 22, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 21984, _objects_num_after_nms: 1474, _person_num_after_nms: 1474, _car_num_after_nms: 0
2024-09-27 20:39:55,932 - INFO - objects_num_before_nms: 25, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 21264, _objects_num_after_nms: 1584, _person_num_after_nms: 1579, _car_num_after_nms: 0
2024-09-27 20:39:56,140 - INFO - objects_num_before_nms: 71, objects_num_after_nms: 7, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 21277, _objects_num_after_nms: 1581, _person_num_after_nms: 1576, _car_num_after_nms: 0
2024-09-27 20:40:03,024 - INFO - objects_num_before_nms: 65, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 18171, _objects_num_after_nms: 1213, _person_num_after_nms: 1213, _car_num_after_nms: 0
2024-09-27 20:40:03,215 - INFO - objects_num_before_nms: 70, objects_num_after_nms: 7, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 18225, _objects_num_after_nms: 1198, _person_num_after_nms: 1198, _car_num_after_nms: 0
2024-09-27 20:40:09,957 - INFO - objects_num_before_nms: 73, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 21789, _objects_num_after_nms: 1361, _person_num_after_nms: 1361, _car_num_after_nms: 0
2024-09-27 20:40:10,154 - INFO - objects_num_before_nms: 56, objects_num_after_nms: 7, person_num_after_nms: 6, car_num_after_nms: 0 -> _objects_num_before_nms: 21819, _objects_num_after_nms: 1344, _person_num_after_nms: 1344, _car_num_after_nms: 0
2024-09-27 20:40:17,470 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 21702, _objects_num_after_nms: 1486, _person_num_after_nms: 1485, _car_num_after_nms: 0
2024-09-27 20:40:17,675 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 21712, _objects_num_after_nms: 1514, _person_num_after_nms: 1512, _car_num_after_nms: 0
2024-09-27 20:40:24,412 - INFO - objects_num_before_nms: 47, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 22223, _objects_num_after_nms: 1521, _person_num_after_nms: 1520, _car_num_after_nms: 0
2024-09-27 20:40:24,619 - INFO - objects_num_before_nms: 53, objects_num_after_nms: 5, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 22213, _objects_num_after_nms: 1506, _person_num_after_nms: 1505, _car_num_after_nms: 0
2024-09-27 20:40:31,905 - INFO - objects_num_before_nms: 54, objects_num_after_nms: 6, person_num_after_nms: 5, car_num_after_nms: 0 -> _objects_num_before_nms: 22523, _objects_num_after_nms: 1659, _person_num_after_nms: 1659, _car_num_after_nms: 0
2024-09-27 20:40:32,140 - INFO - objects_num_before_nms: 15, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 22597, _objects_num_after_nms: 1660, _person_num_after_nms: 1660, _car_num_after_nms: 0
